"tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres","averageRating","numVotes","directors","writers","director_writer_pair"
"tt0251819","video","The Making of 'Close Encounters of the Third Kind'","The Making of 'Close Encounters of the Third Kind'","0","2001",NA,"101","Documentary",7.2,221,"nm0100522","nm0100522","nm0100522 - nm0100522"
"tt0252222","video","All About 'the Birds'","All About 'The Birds'","0","2000",NA,"80","Documentary",7.8,327,"nm0100522","nm0100522","nm0100522 - nm0100522"
"tt0267721","video","The Making of 'the Bridge on the River Kwai'","The Making of 'The Bridge on the River Kwai'","0","2000",NA,"53","Documentary",7.1,133,"nm0100522","nm0100522","nm0100522 - nm0100522"
"tt0278109","video","The Trouble with Marnie","The Trouble with Marnie","0","2000",NA,"59","Documentary",7.1,253,"nm0100522","nm0100522","nm0100522 - nm0100522"
"tt0283922","tvMovie","Snow Falling on Cedars: Spotlight on Location","Spotlight on Location: Snow Falling on Cedars","0","2000",NA,NA,"Documentary",6.6,42,"nm0100522","nm0100522","nm0100522 - nm0100522"
"tt0288851","video","The Trouble with Harry Isn't Over","The Trouble with Harry Isn't Over","0","2001",NA,"32","Documentary,Short",6.6,195,"nm0100522","nm0100522","nm0100522 - nm0100522"
"tt0290225","video","Jaws 2: A Portrait by Actor Keith Gordon","Jaws 2: A Portrait by Actor Keith Gordon","0","2001",NA,"9","Documentary,Short",6.3,54,"nm0100522","nm0100522","nm0100522 - nm0100522"
"tt0290226","video","John Williams: The Music of 'Jaws 2'","John Williams: The Music of 'Jaws 2'","0","2001",NA,"8","Documentary,Music,Short",5.1,84,"nm0100522","nm0100522","nm0100522 - nm0100522"
"tt0290241","video","The Making of 'Jaws 2'","The Making of 'Jaws 2'","0","2001",NA,"46","Documentary",5.5,119,"nm0100522","nm0100522","nm0100522 - nm0100522"
"tt0292645","video","Saboteur: A Closer Look","Saboteur: A Closer Look","0","2001",NA,"36","Documentary,Short",6.3,146,"nm0100522","nm0100522","nm0100522 - nm0100522"
"tt0294265","video","Acting 'Carrie'","Acting 'Carrie'","0","2001",NA,"43","Documentary,Short",7.6,163,"nm0100522","nm0100522","nm0100522 - nm0100522"
"tt0295676","video","Visualizing 'Carrie'","Visualizing 'Carrie'","0","2001",NA,"42","Documentary,Short",7.3,95,"nm0100522","nm0100522","nm0100522 - nm0100522"
"tt0305742","video","The Lady from Shanghai: A Discussion with Peter Bogdanovich","The Lady from Shanghai: A Discussion with Peter Bogdanovich","0","2000",NA,"21","Documentary,Short",5.8,66,"nm0100522","nm0100522","nm0100522 - nm0100522"
"tt0308087","video","Canceled Sitcoms","Canceled Sitcoms","0","2000",NA,NA,"Comedy,Drama,Short",7.5,12,"nm1121649","nm1121649","nm1121649 - nm1121649"
"tt0313164","video","Acting A.I.: A Portrait of David","Acting A.I.: A Portrait of David","0","2002",NA,"9","Short",5.9,133,"nm0100522","nm0100522","nm0100522 - nm0100522"
"tt0313165","video","Acting A.I.: A Portrait of Gigolo Joe","Acting A.I.: A Portrait of Gigolo Joe","0","2002",NA,"6","Short",6.2,147,"nm0100522","nm0100522","nm0100522 - nm0100522"
"tt0313931","video","Creating A.I.","Creating A.I.","0","2002",NA,"13","Documentary,Short",6,128,"nm0100522","nm0100522","nm0100522 - nm0100522"
"tt0314318","video","Lighting AI","Lighting AI","0","2002",NA,"5","Short",5.2,80,"nm0100522","nm0100522","nm0100522 - nm0100522"
"tt0314728","video","Steven Spielberg: Our Responsibility to Artificial Intelligence","Steven Spielberg: Our Responsibility to Artificial Intelligence","0","2002",NA,"3","Short",5.7,89,"nm0100522","nm0100522","nm0100522 - nm0100522"
"tt0321431","video","Beyond Jurassic Park","Beyond Jurassic Park","0","2001",NA,"118",NA,6.3,291,"nm0100522","nm0100522","nm0100522 - nm0100522"
"tt0323834","video","'Rope' Unleashed","'Rope' Unleashed","0","2001",NA,"32","Documentary,Short",7.1,176,"nm0100522","nm0100522","nm0100522 - nm0100522"
"tt0329024","video","Dressed to Kill: An Appreciation by Keith Gordon","Dressed to Kill: An Appreciation by Keith Gordon","0","2001",NA,"6","Documentary,Short",6.3,40,"nm0100522","nm0100522","nm0100522 - nm0100522"
"tt0329335","video","The Making of 'Dressed to Kill'","The Making of 'Dressed to Kill'","0","2001",NA,"44","Documentary,Short",7.8,96,"nm0100522","nm0100522","nm0100522 - nm0100522"
"tt0329615","video","Slashing 'Dressed to Kill'","Slashing 'Dressed to Kill'","0","2001",NA,"10","Documentary,Short",7.6,82,"nm0100522","nm0100522","nm0100522 - nm0100522"
"tt0338228","video","Back to the Future: Making the Trilogy","Back to the Future: Making the Trilogy","0","2002",NA,"47","Documentary",7.4,430,"nm0100522","nm0100522","nm0100522 - nm0100522"
"tt0347482","video","Making of 'to Catch a Thief'","Making of 'To Catch a Thief'","0","2002",NA,"17","Documentary,Short",6.9,94,"nm0100522","nm0100522","nm0100522 - nm0100522"
