"primaryName","startYear","weightedRating"
"J. Rupert Thompson","2002",6.64050632911392
"J. Rupert Thompson","2003",6.35032119914347
"J. Rupert Thompson","2004",6.49576427255985
"J. Rupert Thompson","2005",6.82683615819209
"J. Rupert Thompson","2006",6.59083333333333
"J. Rupert Thompson","2008",5.97340804890474
"J. Rupert Thompson","2009",6.4
"J. Rupert Thompson","2010",5.16
"J. Rupert Thompson","2011",7.19636363636364
"J. Rupert Thompson","2012",7.96031746031746
"J. Rupert Thompson","2013",8.58351648351648
"J. Rupert Thompson","2014",7.8546511627907
"J. Rupert Thompson","2015",7.81980198019802
"J. Rupert Thompson","2016",7.84795918367347
"J. Rupert Thompson","2017",7.65603217158177
"J. Rupert Thompson","2018",7.68823529411765
"J. Rupert Thompson","2019",6.3
"J. Rupert Thompson","2020",5.35444126074499
"J. Rupert Thompson","2021",6.26046511627907
