"primaryName","startYear","weightedRating"
"James Rolfe","1989",4.8
"James Rolfe","1993",5.7
"James Rolfe","1996",6.08048780487805
"James Rolfe","1997",6
"James Rolfe","1998",5.7
"James Rolfe","1999",5.3
"James Rolfe","2001",7.07324840764331
"James Rolfe","2004",7.43753709198813
"James Rolfe","2005",7.31831831831832
"James Rolfe","2006",8.25898795180723
"James Rolfe","2007",7.75693693693694
"James Rolfe","2008",7.62820512820513
"James Rolfe","2009",7.7743766122098
"James Rolfe","2010",7.46021897810219
"James Rolfe","2011",7.54321503131524
"James Rolfe","2012",6.82526096033403
"James Rolfe","2013",7.80833796553641
"James Rolfe","2014",7.60203349282297
"James Rolfe","2015",7.04712252475248
"James Rolfe","2016",7.24430379746835
"James Rolfe","2017",7.71817334575955
"James Rolfe","2018",7.78006134969325
"James Rolfe","2019",7.17049861495845
"James Rolfe","2020",6.83370165745856
"James Rolfe","2021",5.45714285714286
