"primaryName","startYear","weightedRating"
"Paul Wheeler","1998",5.7
"Paul Wheeler","1999",6.55172413793103
"Paul Wheeler","2000",6.1
"Paul Wheeler","2001",6.23076923076923
"Paul Wheeler","2002",7.0156862745098
"Paul Wheeler","2003",6.87741935483871
"Paul Wheeler","2004",6.33548387096774
"Paul Wheeler","2005",7.16115702479339
"Paul Wheeler","2006",6.77727272727273
"Paul Wheeler","2007",7.25
"Paul Wheeler","2008",7.87577639751553
"Paul Wheeler","2009",7.204375
"Paul Wheeler","2010",7.73392857142857
"Paul Wheeler","2011",7.16
"Paul Wheeler","2012",7.12222222222222
"Paul Wheeler","2013",6.88604651162791
"Paul Wheeler","2014",6.61538461538461
"Paul Wheeler","2015",6.53720930232558
"Paul Wheeler","2016",6.65961538461538
"Paul Wheeler","2017",6.58461538461538
"Paul Wheeler","2018",6.83235294117647
"Paul Wheeler","2019",6.51022727272727
