"titleType","genres","startYear","weightedRating","totalVotes"
"movie","Action","1914",6.7,24
"movie","Action","1918",6.8,26
"movie","Action","1919",4.5,24
"movie","Action","1926",6.9,21
"movie","Action","1927",7.2,28
"movie","Action","1935",3.8,13
"movie","Action","1936",5.4,43
"movie","Action","1937",6.4,27
"movie","Action","1940",6.87391304347826,46
"movie","Action","1942",6.8,154
"movie","Action","1945",6.7,35
"movie","Action","1955",6.2,15
"movie","Action","1956",6.58823529411765,34
"movie","Action","1957",5.94285714285714,35
"movie","Action","1958",5.7,11
"movie","Action","1959",7.3,34
"movie","Action","1960",7.2,15
"movie","Action","1961",7,37
"movie","Action","1962",6.36666666666667,24
"movie","Action","1963",7.18974358974359,78
"movie","Action","1964",6.6,79
"movie","Action","1966",5.20526315789474,190
"movie","Action","1967",5.58839285714286,112
"movie","Action","1968",5.35875,480
"movie","Action","1969",6.41469816272966,381
"movie","Action","1970",6.7,11
"movie","Action","1971",6.73198529411765,544
"movie","Action","1972",6.17840599455041,2936
"movie","Action","1973",6.06302652106084,641
"movie","Action","1974",5.53188886585113,4823
"movie","Action","1975",5.88781465805302,4489
"movie","Action","1976",6.76443965517241,1392
"movie","Action","1977",6.26783439490446,314
"movie","Action","1978",5.57972358292512,5716
"movie","Action","1979",5.40487347703843,1067
"movie","Action","1980",6.49713292788879,1151
"movie","Action","1981",5.45375,720
"movie","Action","1982",5.66821705426357,516
"movie","Action","1983",5.3033203125,512
"movie","Action","1984",5.43599137931035,1856
"movie","Action","1985",5.50409051348999,1149
"movie","Action","1986",5.01645283018868,2650
"movie","Action","1987",4.61804076665653,3287
"movie","Action","1988",4.93821809425525,2907
"movie","Action","1989",4.83768057784912,2492
"movie","Action","1990",4.89249280669631,3823
"movie","Action","1991",5.33945473251029,1944
"movie","Action","1992",4.83040646754997,4453
"movie","Action","1993",5.5320687611144,1687
"movie","Action","1994",5.236489462095,3179
"movie","Action","1995",6.56118269673263,4346
"movie","Action","1996",4.98684433164129,2364
"movie","Action","1997",5.36649258760108,5936
"movie","Action","1998",4.74606505771249,3812
"movie","Action","1999",6.8092423583949,6903
"movie","Action","2000",4.23796526054591,2015
