"directors","tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres","averageRating","numVotes","writers","primaryName","birthYear","deathYear","primaryProfession","knownForTitles","director_writer_pair"
"nm0068007","tt1720706","tvEpisode","Look Whose Wheel's Come Off","Look Whose Wheel's Come Off","0","2010",NA,"29","Comedy",6.6,32,"nm0164983","Alan J.W. Bell","1937",NA,"director,producer,editor","tt0075568,tt0069602,tt0174882,tt0135091","nm0068007 - nm0164983"
"nm0068007","tt1262717","tvEpisode","A Tale of Two Sweaters","A Tale of Two Sweaters","0","2006",NA,"29","Comedy",6.9,19,"nm0164983","Alan J.W. Bell","1937",NA,"director,producer,editor","tt0075568,tt0069602,tt0174882,tt0135091","nm0068007 - nm0164983"
"nm0068007","tt1426580","tvEpisode","In Which Romance Springs a Leak","In Which Romance Springs a Leak","0","2009",NA,"29","Comedy",6,23,"nm0164983","Alan J.W. Bell","1937",NA,"director,producer,editor","tt0075568,tt0069602,tt0174882,tt0135091","nm0068007 - nm0164983"
"nm0068007","tt0805246","tvEpisode","Why Is Barry at an Angle?","Why Is Barry at an Angle?","0","2001",NA,"29","Comedy",7.2,28,"nm0164983","Alan J.W. Bell","1937",NA,"director,producer,editor","tt0075568,tt0069602,tt0174882,tt0135091","nm0068007 - nm0164983"
"nm0068007","tt0805245","tvEpisode","The Coming of the Beast","The Coming of the Beast","0","2001",NA,"29","Comedy",7.7,26,"nm0164983","Alan J.W. Bell","1937",NA,"director,producer,editor","tt0075568,tt0069602,tt0174882,tt0135091","nm0068007 - nm0164983"
"nm0068007","tt1720705","tvEpisode","Howard and the Great Outdoors","Howard and the Great Outdoors","0","2010",NA,"29","Comedy",6.6,31,"nm0164983","Alan J.W. Bell","1937",NA,"director,producer,editor","tt0075568,tt0069602,tt0174882,tt0135091","nm0068007 - nm0164983"
"nm0068007","tt0794874","tvEpisode","Hey, Big Vendor","Hey, Big Vendor","0","2001",NA,"29","Comedy",7.3,26,"nm0164983","Alan J.W. Bell","1937",NA,"director,producer,editor","tt0075568,tt0069602,tt0174882,tt0135091","nm0068007 - nm0164983"
"nm0068007","tt1426581","tvEpisode","Variations on a Theme of Father's Day","Variations on a Theme of Father's Day","0","2009",NA,"29","Comedy",6.9,30,"nm0164983","Alan J.W. Bell","1937",NA,"director,producer,editor","tt0075568,tt0069602,tt0174882,tt0135091","nm0068007 - nm0164983"
"nm0068007","tt0829821","tvEpisode","Sadly, Madly, Bradley","Sadly, Madly, Bradley","0","2002",NA,"29","Comedy",6.7,25,"nm0164983","Alan J.W. Bell","1937",NA,"director,producer,editor","tt0075568,tt0069602,tt0174882,tt0135091","nm0068007 - nm0164983"
"nm0068007","tt1426579","tvEpisode","Will Randolph Make a Good Impression?","Will Randolph Make a Good Impression?","0","2009",NA,"29","Comedy",5.6,27,"nm0164983","Alan J.W. Bell","1937",NA,"director,producer,editor","tt0075568,tt0069602,tt0174882,tt0135091","nm0068007 - nm0164983"
"nm0068007","tt0836299","tvEpisode","In Search of Childlike Joy and the Farthest Reaches of the Lotus Position","In Search of Childlike Joy and the Farthest Reaches of the Lotus Position","0","2002",NA,"29","Comedy",7.3,26,"nm0164983","Alan J.W. Bell","1937",NA,"director,producer,editor","tt0075568,tt0069602,tt0174882,tt0135091","nm0068007 - nm0164983"
"nm0068007","tt1262291","tvEpisode","A Short Introduction to Cooper's Rules","A Short Introduction to Cooper's Rules","0","2008",NA,"29","Comedy",7.9,30,"nm0164983","Alan J.W. Bell","1937",NA,"director,producer,editor","tt0075568,tt0069602,tt0174882,tt0135091","nm0068007 - nm0164983"
"nm0068007","tt0839089","tvEpisode","Potts in Pole Position","Potts in Pole Position","0","2001",NA,"29","Comedy",7.5,24,"nm0164983","Alan J.W. Bell","1937",NA,"director,producer,editor","tt0075568,tt0069602,tt0174882,tt0135091","nm0068007 - nm0164983"
"nm0068007","tt1426578","tvEpisode","Will Stella Find True Love with Norris Fairburn?","Will Stella Find True Love with Norris Fairburn?","0","2009",NA,"29","Comedy",6.1,25,"nm0164983","Alan J.W. Bell","1937",NA,"director,producer,editor","tt0075568,tt0069602,tt0174882,tt0135091","nm0068007 - nm0164983"
"nm0068007","tt0839122","tvEpisode","The McDonaghs of Jamieson Street","The McDonaghs of Jamieson Street","0","2005",NA,"29","Comedy",7,27,"nm0164983","Alan J.W. Bell","1937",NA,"director,producer,editor","tt0075568,tt0069602,tt0174882,tt0135091","nm0068007 - nm0164983"
"nm0068007","tt0839129","tvEpisode","The Swan Man of Ilkley","The Swan Man of Ilkley","0","2005",NA,"29","Comedy",6.9,28,"nm0164983","Alan J.W. Bell","1937",NA,"director,producer,editor","tt0075568,tt0069602,tt0174882,tt0135091","nm0068007 - nm0164983"
"nm0068007","tt1262293","tvEpisode","Enter the Finger","Enter the Finger","0","2008",NA,"29","Comedy",7.3,30,"nm0164983","Alan J.W. Bell","1937",NA,"director,producer,editor","tt0075568,tt0069602,tt0174882,tt0135091","nm0068007 - nm0164983"
"nm0068007","tt0626038","tvEpisode","The Second Husband and the Showgirls","The Second Husband and the Showgirls","0","2003",NA,"29","Comedy",7.2,29,"nm0164983","Alan J.W. Bell","1937",NA,"director,producer,editor","tt0075568,tt0069602,tt0174882,tt0135091","nm0068007 - nm0164983"
