titleType,genres,startYear,weightedRating,totalVotes
movie,Action,1914,6.7,24
movie,Action,1918,6.8,26
movie,Action,1919,4.5,24
movie,Action,1926,6.9,21
movie,Action,1927,7.2,28
movie,Action,1935,3.8,13
movie,Action,1936,5.4,43
movie,Action,1937,6.4,27
movie,Action,1940,6.873913043,46
movie,Action,1942,6.8,154
movie,Action,1945,6.7,35
movie,Action,1955,6.2,15
movie,Action,1956,6.588235294,34
movie,Action,1957,5.942857143,35
movie,Action,1958,5.7,11
movie,Action,1959,7.3,34
movie,Action,1960,7.2,15
movie,Action,1961,7,37
movie,Action,1962,6.366666667,24
movie,Action,1963,7.18974359,78
movie,Action,1964,6.6,79
movie,Action,1966,5.205263158,190
movie,Action,1967,5.588392857,112
movie,Action,1968,5.35875,480
movie,Action,1969,6.414698163,381
movie,Action,1970,6.7,11
movie,Action,1971,6.731985294,544
movie,Action,1972,6.178405995,2936
movie,Action,1973,6.063026521,641
movie,Action,1974,5.531888866,4823
movie,Action,1975,5.887814658,4489
movie,Action,1976,6.764439655,1392
movie,Action,1977,6.267834395,314
movie,Action,1978,5.579723583,5716
movie,Action,1979,5.404873477,1067
movie,Action,1980,6.497132928,1151
movie,Action,1981,5.45375,720
movie,Action,1982,5.668217054,516
movie,Action,1983,5.303320313,512
movie,Action,1984,5.435991379,1856
movie,Action,1985,5.504090513,1149
movie,Action,1986,5.01645283,2650
movie,Action,1987,4.618040767,3287
movie,Action,1988,4.938218094,2907
movie,Action,1989,4.837680578,2492
movie,Action,1990,4.892492807,3823
movie,Action,1991,5.339454733,1944
movie,Action,1992,4.830406468,4453
movie,Action,1993,5.532068761,1687
movie,Action,1994,5.236489462,3179
movie,Action,1995,6.561182697,4346
movie,Action,1996,4.986844332,2364
movie,Action,1997,5.366492588,5936
movie,Action,1998,4.746065058,3812
movie,Action,1999,6.809242358,6903
movie,Action,2000,4.237965261,2015
movie,Action,2001,4.817075269,2325
movie,Action,2002,4.674782609,575
movie,Action,2003,4.222163121,1128
movie,Action,2004,5.972536349,619
movie,Action,2005,5.952655115,7156
movie,Action,2006,4.865709853,1289
movie,Action,2007,4.640470253,2807
movie,Action,2008,4.846124524,1574
