"titleType","genres","startYear","weightedRating","totalVotes"
"short","Action,Adventure,Animation","1942",7.1,42
"short","Action,Adventure,Animation","1946",6.1,43
"short","Action,Adventure,Animation","1947",6.02888888888889,90
"short","Action,Adventure,Animation","1949",6.5,42
"short","Action,Adventure,Animation","1951",6.7,53
"short","Action,Adventure,Animation","1952",6.3,39
"short","Action,Adventure,Animation","1953",6.8,174
"short","Action,Adventure,Animation","1961",5.7,35
"short","Action,Adventure,Animation","1989",6.9,6809
"short","Action,Adventure,Animation","1995",6.7,8
"short","Action,Adventure,Animation","2001",7.3,2501
"short","Action,Adventure,Animation","2002",6.9,259
"short","Action,Adventure,Animation","2010",7.19068776628119,3286
"short","Action,Adventure,Animation","2011",7.6,47
"short","Action,Adventure,Animation","2016",6.30754716981132,106
"short","Action,Adventure,Animation","2019",7.9,1229
"short","Action,Adventure,Animation","2020",8.3,109
"short","Action,Adventure,Biography","1912",6.3,70
"short","Action,Adventure,Biography","1940",5.9,180
"short","Action,Adventure,Comedy","1902",8.2,47155
"short","Action,Adventure,Comedy","1962",5.3,11
"short","Action,Adventure,Comedy","2002",7.4,5835
"short","Action,Adventure,Comedy","2013",7.4,11
"short","Action,Adventure,Comedy","2017",7.8,35
"short","Action,Adventure,Comedy","2019",8.8,139
"short","Action,Adventure,Crime","1903",7.3,18494
"short","Action,Adventure,Crime","1938",6.3,16
"short","Action,Adventure,Crime","1962",6.5,116
"short","Action,Adventure,Crime","1964",5.8,32
"short","Action,Adventure,Crime","2002",7.2,4978
"short","Action,Adventure,Crime","2009",5,154
"short","Action,Adventure,Crime","2015",8,7
"short","Action,Adventure,Drama","1959",3.90666666666667,15
"short","Action,Adventure,Drama","1962",5.6,12
"short","Action,Adventure,Drama","1963",5.4,10
"short","Action,Adventure,Drama","1964",5.68823529411765,51
"short","Action,Adventure,Drama","1965",5.28627450980392,51
"short","Action,Adventure,Drama","1966",5.2,10
"short","Action,Adventure,Drama","1969",5.4,53
"short","Action,Adventure,Drama","1972",5.50666666666667,135
"short","Action,Adventure,Drama","1973",5.1,78
"short","Action,Adventure,Drama","1994",5.3,59
"short","Action,Adventure,Drama","2017",9.6,74
"short","Action,Adventure,Family","1904",7.6,3469
"short","Action,Adventure,Fantasy","1957",5.73265306122449,49
"short","Action,Adventure,Fantasy","1958",6.7,27
"short","Action,Adventure,Fantasy","1959",4,8
"short","Action,Adventure,Fantasy","2019",7,10
"short","Action,Adventure,Fantasy","2020",7.3,18
"short","Action,Adventure,Horror","1967",5.4,15
"short","Action,Adventure,Horror","1974",7.6,14
"short","Action,Adventure,Horror","2016",1,26
"short","Action,Adventure,Horror","2021",8.1,287
"short","Action,Adventure,Musical","2013",6.4,26
"short","Action,Adventure,Romance","1926",5.4,14
"short","Action,Adventure,Romance","1944",5.3,119
"short","Action,Adventure,Sci-Fi","1981",5.9,18
"short","Action,Adventure,Sci-Fi","1995",6.1,36
"short","Action,Adventure,Sci-Fi","2012",5.2,32
"short","Action,Adventure,Sci-Fi","2017",7.2,43
"short","Action,Adventure,Sci-Fi","2019",8.2,9
"short","Action,Adventure,Short","1923",4.7,12
"short","Action,Adventure,Short","1997",7.3,8
"short","Action,Adventure,Short","2011",6.3,60
"short","Action,Adventure,Short","2015",8,15
"short","Action,Adventure,Short","2016",2.3,25
"short","Action,Adventure,Short","2020",7.4,8
"short","Action,Adventure,Short","2021",8.7,12
"short","Action,Animation,Comedy","1935",7.4,1431
"short","Action,Animation,Comedy","1939",6.1,281
"short","Action,Animation,Comedy","1940",7.54728739002933,2728
"short","Action,Animation,Comedy","1941",7.4,859
"short","Action,Animation,Comedy","1942",7.54808926080893,3585
"short","Action,Animation,Comedy","1943",7.50666930536315,5053
"short","Action,Animation,Comedy","1944",7.14766984839978,1781
"short","Action,Animation,Comedy","1945",7.8,1144
"short","Action,Animation,Comedy","1947",7.40059599829715,2349
"short","Action,Animation,Comedy","1948",7.28924332344214,1348
"short","Action,Animation,Comedy","1949",8.02028985507246,3312
"short","Action,Animation,Comedy","1950",7.9,1101
"short","Action,Animation,Comedy","1951",8.23058823529412,5355
"short","Action,Animation,Comedy","1952",8.22870486797198,5567
"short","Action,Animation,Comedy","1953",8.11183088987385,5866
"short","Action,Animation,Comedy","1955",7,187
"short","Action,Animation,Comedy","1956",7.7,766
"short","Action,Animation,Comedy","1958",8,2411
"short","Action,Animation,Comedy","1986",7.2,380
"short","Action,Animation,Comedy","1994",7.4,465
"short","Action,Animation,Comedy","2004",6.5,286
"short","Action,Animation,Comedy","2006",7,79
"short","Action,Animation,Comedy","2007",6.9,11
"short","Action,Animation,Comedy","2009",7.42394366197183,71
"short","Action,Animation,Comedy","2010",8.196,75
"short","Action,Animation,Comedy","2011",6.54102564102564,78
"short","Action,Animation,Comedy","2012",7.1,105
"short","Action,Animation,Comedy","2013",6.90151515151515,924
"short","Action,Animation,Comedy","2014",7.4,11
"short","Action,Animation,Comedy","2015",5.55384615384615,26
"short","Action,Animation,Comedy","2016",5.52857142857143,21
"short","Action,Animation,Comedy","2017",6.9,15
"short","Action,Animation,Comedy","2019",8.9,21
"short","Action,Animation,Comedy","2020",8.5,142
"short","Action,Animation,Comedy","2021",6.11064601186552,3034
