"directors","titleType","genres","numVotes","weightedRating"
"nm0000095","tvMiniSeries","Comedy",6056,6.6
"nm0000217","tvMiniSeries","Biography,Comedy,Documentary",6506,8.1
"nm0000231","tvMiniSeries","Documentary,History,War",8883,8.5
"nm0000269","tvMiniSeries","Crime,Drama,Mystery",5591,7.4
"nm0000490","tvMiniSeries","Documentary",520,7.3
"nm0000490","tvMiniSeries","Documentary",617,6.9
"nm0000638","tvMiniSeries","Biography",321,7.4
"nm0000801","tvMiniSeries","Biography,Crime,Drama",13564,7.6
"nm0000806","tvMiniSeries","Drama,Romance",654,7.2
"nm0000853","tvMiniSeries","Drama,History",155,7
"nm0000915","tvMiniSeries","Biography,Crime,Drama",5389,6.5
"nm0001241","tvMiniSeries","Biography,Comedy,Crime",11891,7.7
"nm0001241","tvMiniSeries","Crime,Drama,Game-Show",6573,7.3
"nm0001331","tvMiniSeries","Drama",20797,7.6
"nm0001438","tvMiniSeries","Drama",58,6.5
"nm0001554","tvMiniSeries","Biography,Documentary,Drama",4055,7
"nm0001814","tvMiniSeries","Drama,History",38,5.9
"nm0001835","tvMiniSeries","Sci-Fi",6,8.5
"nm0001994","tvMiniSeries","Drama,History,Romance",8450,7
"nm0002140","tvMiniSeries","Biography,Drama,History",1546,7.9
"nm0002140","tvMiniSeries","Drama,Horror,Mystery",5336,5.5
"nm0002194","tvMiniSeries","Comedy,Drama,Romance",32,6.6
"nm0002691","tvMiniSeries","Documentary",64,6.2
"nm0002726","tvMiniSeries","Drama,History,Romance",3476,7.3
"nm0003163","tvMiniSeries","Drama",15,9.1
"nm0003474","tvMiniSeries","Comedy",23,9.2
"nm0003577","tvMiniSeries","Action,Biography,Documentary",30,7
"nm0003577","tvMiniSeries","Action,Crime,Documentary",29,5.6
"nm0003577","tvMiniSeries","Adventure,Biography,Documentary",17,5.4
"nm0003577","tvMiniSeries","Biography,Crime,Documentary",19,7.3
"nm0003577","tvMiniSeries","Biography,Documentary,Drama",15,6.9
"nm0003577","tvMiniSeries","Biography,Documentary,History",6,5.4
"nm0003577","tvMiniSeries","Biography,Documentary,History",30,6.2
"nm0003577","tvMiniSeries","Biography,Documentary,History",40,5
"nm0003577","tvMiniSeries","Biography,Documentary,History",53,7.3
