"titleType","genres","startYear","weightedRating","totalVotes"
"tvMovie","Action","1978",5,14
"tvMovie","Action","1979",5.7,35
"tvMovie","Action","1981",7.3,7
"tvMovie","Action","1983",6,25
"tvMovie","Action","1985",5.55714285714286,98
"tvMovie","Action","1986",7.1,977
"tvMovie","Action","1987",5.5,238
"tvMovie","Action","1988",5.86307692307692,130
"tvMovie","Action","1991",6.4,5
"tvMovie","Action","1992",6.98594917787743,669
"tvMovie","Action","1993",5.3,244
"tvMovie","Action","1994",5.7320987654321,243
"tvMovie","Action","1996",6.4,10
"tvMovie","Action","1997",5.5,6
"tvMovie","Action","1998",4.29042253521127,355
"tvMovie","Action","1999",5.7,13
"tvMovie","Action","2000",5.35429141716567,1002
"tvMovie","Action","2001",6.4,108
"tvMovie","Action","2002",5.13910806174957,583
"tvMovie","Action","2004",3.76484593837535,714
"tvMovie","Action","2005",3.36444444444444,180
"tvMovie","Action","2006",4.31611570247934,242
"tvMovie","Action","2007",6.18267819706499,3816
"tvMovie","Action","2008",4.35584415584416,770
"tvMovie","Action","2009",4.71111111111111,54
"tvMovie","Action","2010",5.068,125
"tvMovie","Action","2012",7.092,50
"tvMovie","Action","2013",6.30213903743315,187
"tvMovie","Action","2014",7.2,28
"tvMovie","Action","2015",5.95147928994083,169
"tvMovie","Action","2019",7.195,60
"tvMovie","Action,Adventure","1964",4.6,35
"tvMovie","Action,Adventure","1966",6.7,19
"tvMovie","Action,Adventure","1967",5.6,79
"tvMovie","Action,Adventure","1975",5.9,47
"tvMovie","Action,Adventure","1977",6.5,301
"tvMovie","Action,Adventure","1978",5.8,13
"tvMovie","Action,Adventure","1979",6.1,34
"tvMovie","Action,Adventure","1986",7.1,16
"tvMovie","Action,Adventure","1988",5.9,81
"tvMovie","Action,Adventure","1989",4.1,451
"tvMovie","Action,Adventure","1990",6.2,58
"tvMovie","Action,Adventure","1993",6.6,12
"tvMovie","Action,Adventure","1994",6.48878319460959,2523
"tvMovie","Action,Adventure","1995",6.7,930
"tvMovie","Action,Adventure","1997",6.4,1110
"tvMovie","Action,Adventure","1998",4.10580110497238,724
"tvMovie","Action,Adventure","2000",4.3,434
"tvMovie","Action,Adventure","2001",4.5,34
"tvMovie","Action,Adventure","2006",5.4,97
"tvMovie","Action,Adventure","2011",4.6,47
"tvMovie","Action,Adventure","2012",4.9,287
"tvMovie","Action,Adventure","2014",7,99
"tvMovie","Action,Adventure,Animation","1980",5.7,3911
"tvMovie","Action,Adventure,Animation","1981",4.8,12
"tvMovie","Action,Adventure,Animation","1984",6.7,170
"tvMovie","Action,Adventure,Animation","1989",6.59177377892031,389
"tvMovie","Action,Adventure,Animation","1990",7,291
"tvMovie","Action,Adventure,Animation","1991",6.5,249
"tvMovie","Action,Adventure,Animation","1992",6.6,238
"tvMovie","Action,Adventure,Animation","1993",4.3,130
"tvMovie","Action,Adventure,Animation","1995",7,372
"tvMovie","Action,Adventure,Animation","1997",6.60952910641454,2697
"tvMovie","Action,Adventure,Animation","1998",4.9,15
"tvMovie","Action,Adventure,Animation","1999",7.6,1575
"tvMovie","Action,Adventure,Animation","2002",6.87370417193426,791
"tvMovie","Action,Adventure,Animation","2005",7.15878607809847,4712
"tvMovie","Action,Adventure,Animation","2006",7.85259688900606,7586
"tvMovie","Action,Adventure,Animation","2009",6.2,17271
"tvMovie","Action,Adventure,Animation","2010",6.4,142
"tvMovie","Action,Adventure,Animation","2011",7.7,339
"tvMovie","Action,Adventure,Animation","2012",6.6,114
"tvMovie","Action,Adventure,Animation","2013",6.45320407906333,7943
"tvMovie","Action,Adventure,Animation","2014",7.1,326
"tvMovie","Action,Adventure,Animation","2015",7,501
"tvMovie","Action,Adventure,Animation","2016",7.3,1057
"tvMovie","Action,Adventure,Animation","2018",7.5,97
"tvMovie","Action,Adventure,Animation","2019",6.5,1411
"tvMovie","Action,Adventure,Animation","2020",6.41894984326019,6380
"tvMovie","Action,Adventure,Biography","1979",6.6,152
"tvMovie","Action,Adventure,Biography","1987",6.1,602
"tvMovie","Action,Adventure,Biography","1988",6.8,178
"tvMovie","Action,Adventure,Comedy","1979",6.8,493
"tvMovie","Action,Adventure,Comedy","1980",6.5,377
"tvMovie","Action,Adventure,Comedy","1990",5.9,1026
"tvMovie","Action,Adventure,Comedy","1993",7.3,23
"tvMovie","Action,Adventure,Comedy","1994",5.07303370786517,445
"tvMovie","Action,Adventure,Comedy","1997",5.2,1123
"tvMovie","Action,Adventure,Comedy","2000",6,829
"tvMovie","Action,Adventure,Comedy","2001",6.2,1248
"tvMovie","Action,Adventure,Comedy","2003",4.64279279279279,444
"tvMovie","Action,Adventure,Comedy","2004",3.8,1630
"tvMovie","Action,Adventure,Comedy","2005",2.8,3400
"tvMovie","Action,Adventure,Comedy","2006",5.91900066141543,16631
"tvMovie","Action,Adventure,Comedy","2007",3.89565962307253,10506
"tvMovie","Action,Adventure,Comedy","2008",5.80385878098682,21017
"tvMovie","Action,Adventure,Comedy","2009",4.58183941081372,5567
"tvMovie","Action,Adventure,Comedy","2010",3.24414125200642,3738
"tvMovie","Action,Adventure,Comedy","2011",3.04603112331633,7647
"tvMovie","Action,Adventure,Comedy","2012",4.60351582119538,5973
"tvMovie","Action,Adventure,Comedy","2013",6.3,2050
"tvMovie","Action,Adventure,Comedy","2014",3.5,2973
"tvMovie","Action,Adventure,Comedy","2015",3.16561723280862,1207
"tvMovie","Action,Adventure,Comedy","2016",2.6,1406
"tvMovie","Action,Adventure,Comedy","2017",4.10158102766798,1518
"tvMovie","Action,Adventure,Comedy","2018",3.02712446351931,1165
"tvMovie","Action,Adventure,Crime","1976",5.6,285
"tvMovie","Action,Adventure,Crime","1978",7.3,20
"tvMovie","Action,Adventure,Crime","1979",5.2,755
"tvMovie","Action,Adventure,Crime","1982",6.3,67
"tvMovie","Action,Adventure,Crime","1983",6.6,638
"tvMovie","Action,Adventure,Crime","1986",5.4,70
"tvMovie","Action,Adventure,Crime","1990",6.2,58
"tvMovie","Action,Adventure,Crime","1991",6.2,24
"tvMovie","Action,Adventure,Crime","1992",6.5,180
"tvMovie","Action,Adventure,Crime","1994",7.3,476
"tvMovie","Action,Adventure,Crime","1996",5.7,15
"tvMovie","Action,Adventure,Crime","1998",3.6,560
"tvMovie","Action,Adventure,Crime","1999",4.8,749
"tvMovie","Action,Adventure,Crime","2002",5.9,1070
"tvMovie","Action,Adventure,Crime","2008",7.5,27982
"tvMovie","Action,Adventure,Crime","2017",4.9,6315
"tvMovie","Action,Adventure,Drama","1966",6,7
"tvMovie","Action,Adventure,Drama","1969",6.3,123
"tvMovie","Action,Adventure,Drama","1970",5.8,148
"tvMovie","Action,Adventure,Drama","1975",5.3,55
"tvMovie","Action,Adventure,Drama","1976",5.5,402
"tvMovie","Action,Adventure,Drama","1979",5.56433566433566,143
"tvMovie","Action,Adventure,Drama","1984",5.4,66
"tvMovie","Action,Adventure,Drama","1987",5.4,190
"tvMovie","Action,Adventure,Drama","1988",6.5,232
"tvMovie","Action,Adventure,Drama","1989",5.90449775112444,2668
"tvMovie","Action,Adventure,Drama","1990",5.8,2322
"tvMovie","Action,Adventure,Drama","1991",7.6,42
"tvMovie","Action,Adventure,Drama","1994",5,49
"tvMovie","Action,Adventure,Drama","1996",5.6,197
"tvMovie","Action,Adventure,Drama","1997",7.53964059196617,2838
"tvMovie","Action,Adventure,Drama","1998",7.24927097661623,18175
"tvMovie","Action,Adventure,Drama","1999",6.92057703866961,9982
"tvMovie","Action,Adventure,Drama","2000",3.8,467
"tvMovie","Action,Adventure,Drama","2001",4.162569213732,903
"tvMovie","Action,Adventure,Drama","2002",3.49146991622239,1313
"tvMovie","Action,Adventure,Drama","2003",4.22440801457195,2745
"tvMovie","Action,Adventure,Drama","2004",6.29664512450105,10522
"tvMovie","Action,Adventure,Drama","2005",3.98838823849714,7346
"tvMovie","Action,Adventure,Drama","2006",5.91599636741048,7708
"tvMovie","Action,Adventure,Drama","2007",3.56902654867257,1243
"tvMovie","Action,Adventure,Drama","2008",4.10388635754489,3731
"tvMovie","Action,Adventure,Drama","2009",3.90941117262204,3974
"tvMovie","Action,Adventure,Drama","2010",3.76818181818182,3476
"tvMovie","Action,Adventure,Drama","2011",3.48135593220339,2006
"tvMovie","Action,Adventure,Drama","2012",3.72865871399476,3437
"tvMovie","Action,Adventure,Drama","2013",3.73473495862223,4471
"tvMovie","Action,Adventure,Drama","2014",3.8,1381
"tvMovie","Action,Adventure,Drama","2015",3.5,532
"tvMovie","Action,Adventure,Drama","2019",6.6,7073
"tvMovie","Action,Adventure,Family","1969",7.1,125
"tvMovie","Action,Adventure,Family","1981",5.8,142
"tvMovie","Action,Adventure,Family","2000",4.2,248
"tvMovie","Action,Adventure,Family","2001",6.60885873902634,5012
"tvMovie","Action,Adventure,Family","2005",5.4,6320
"tvMovie","Action,Adventure,Family","2007",4.69132476015513,4899
"tvMovie","Action,Adventure,Family","2008",4.2,1692
"tvMovie","Action,Adventure,Family","2009",4.6,4157
"tvMovie","Action,Adventure,Family","2010",4.8,422
"tvMovie","Action,Adventure,Family","2012",6,566
"tvMovie","Action,Adventure,Family","2017",6.5,10116
"tvMovie","Action,Adventure,Fantasy","1980",5.2,53
"tvMovie","Action,Adventure,Fantasy","1984",5.8,192
"tvMovie","Action,Adventure,Fantasy","1994",6.50104913264776,9627
"tvMovie","Action,Adventure,Fantasy","1996",4,1320
"tvMovie","Action,Adventure,Fantasy","2001",5.2,90
"tvMovie","Action,Adventure,Fantasy","2003",4.3,636
"tvMovie","Action,Adventure,Fantasy","2005",4.03815538608198,4196
"tvMovie","Action,Adventure,Fantasy","2009",4.41474401230499,4551
"tvMovie","Action,Adventure,Fantasy","2010",3.5,853
"tvMovie","Action,Adventure,Fantasy","2011",4.16579134137686,2818
"tvMovie","Action,Adventure,Fantasy","2013",3.6,1201
"tvMovie","Action,Adventure,Fantasy","2019",8.7,13
"tvMovie","Action,Adventure,Fantasy","2020",8.1,88
"tvMovie","Action,Adventure,History","2012",6.3,6041
"tvMovie","Action,Adventure,Horror","1999",4.6,832
"tvMovie","Action,Adventure,Horror","2007",3.48903719912473,4570
"tvMovie","Action,Adventure,Horror","2008",3.3,1955
"tvMovie","Action,Adventure,Horror","2009",4.3,1067
"tvMovie","Action,Adventure,Horror","2011",3.92817271384009,6091
"tvMovie","Action,Adventure,Mystery","1990",5.7,239
"tvMovie","Action,Adventure,Mystery","2008",5.2,392
"tvMovie","Action,Adventure,Mystery","2012",4.1,2793
"tvMovie","Action,Adventure,Romance","1986",5.3,251
"tvMovie","Action,Adventure,Sci-Fi","1977",5.4,159
"tvMovie","Action,Adventure,Sci-Fi","1979",3.92779661016949,3540
"tvMovie","Action,Adventure,Sci-Fi","1984",6.8,4670
"tvMovie","Action,Adventure,Sci-Fi","1985",5.8,17
"tvMovie","Action,Adventure,Sci-Fi","1996",4.6,1808
