"titleType","genres","startYear","weightedRating","totalVotes"
"tvSeries","Action","1974",5.7,13
"tvSeries","Action","1978",8.6,39
"tvSeries","Action","1994",7.2,74
"tvSeries","Action","1996",7.8,42
"tvSeries","Action","1997",4.92181818181818,55
"tvSeries","Action","2001",3.71247264770241,457
"tvSeries","Action","2004",7.83783783783784,74
"tvSeries","Action","2005",6.7,75
"tvSeries","Action","2006",6.8,280
"tvSeries","Action","2007",5.70330188679245,212
"tvSeries","Action","2008",5.02471910112359,178
"tvSeries","Action","2010",7.93230769230769,65
"tvSeries","Action","2011",7.24105691056911,246
"tvSeries","Action","2012",4.5,6
"tvSeries","Action","2013",6.38535669586984,799
"tvSeries","Action","2017",6.53242105263158,475
"tvSeries","Action","2018",7.42427983539095,1458
"tvSeries","Action","2020",6.1,78
"tvSeries","Action","2021",7.2,64
"tvSeries","Action,Adult,Crime","2015",6.1,11
"tvSeries","Action,Adult,Horror","2014",6.9,20
"tvSeries","Action,Adventure","1977",8.8,1589
"tvSeries","Action,Adventure","1986",8.6,1296
"tvSeries","Action,Adventure","1991",7.2,67
"tvSeries","Action,Adventure","1999",4.4,7
"tvSeries","Action,Adventure","2019",8.28421052631579,1615
"tvSeries","Action,Adventure,Animation","1959",5.3,231
"tvSeries","Action,Adventure,Animation","1963",6.7,308
"tvSeries","Action,Adventure,Animation","1964",7.8,4513
"tvSeries","Action,Adventure,Animation","1966",6.95248899424314,2953
"tvSeries","Action,Adventure,Animation","1967",6.8395202020202,1584
"tvSeries","Action,Adventure,Animation","1968",5.8,11
"tvSeries","Action,Adventure,Animation","1972",5.8,60
"tvSeries","Action,Adventure,Animation","1974",6.9,3448
"tvSeries","Action,Adventure,Animation","1976",8.14861111111111,2016
"tvSeries","Action,Adventure,Animation","1977",7.22489368662087,3057
"tvSeries","Action,Adventure,Animation","1978",7.9,164
"tvSeries","Action,Adventure,Animation","1979",6.7,17
"tvSeries","Action,Adventure,Animation","1983",7.7,244
"tvSeries","Action,Adventure,Animation","1984",6.88971061093248,622
"tvSeries","Action,Adventure,Animation","1985",7.9,17207
"tvSeries","Action,Adventure,Animation","1987",7.4,1408
"tvSeries","Action,Adventure,Animation","1989",8.59328185572057,126657
"tvSeries","Action,Adventure,Animation","1991",7.93450029568303,33820
"tvSeries","Action,Adventure,Animation","1993",6.79307757885763,5865
"tvSeries","Action,Adventure,Animation","1994",7.2,31
"tvSeries","Action,Adventure,Animation","1995",6.05,1400
"tvSeries","Action,Adventure,Animation","1996",7.5,54
"tvSeries","Action,Adventure,Animation","1997",6.99467939972715,2199
"tvSeries","Action,Adventure,Animation","1998",8.1599472442038,21609
"tvSeries","Action,Adventure,Animation","1999",7.60067138019131,16831
"tvSeries","Action,Adventure,Animation","2000",7.39306310071041,2393
"tvSeries","Action,Adventure,Animation","2001",6.74129672897196,3424
"tvSeries","Action,Adventure,Animation","2002",7.62671009771987,11666
"tvSeries","Action,Adventure,Animation","2003",7.58207355687261,36951
"tvSeries","Action,Adventure,Animation","2004",6.23302422973377,6686
"tvSeries","Action,Adventure,Animation","2005",7.15336591325596,8185
"tvSeries","Action,Adventure,Animation","2006",7.17637182637183,2442
"tvSeries","Action,Adventure,Animation","2007",8.2551554272125,11774
"tvSeries","Action,Adventure,Animation","2008",7.37727123029875,21255
"tvSeries","Action,Adventure,Animation","2009",8.2812389380531,6215
"tvSeries","Action,Adventure,Animation","2010",8.0851667305481,2609
"tvSeries","Action,Adventure,Animation","2011",8.99037157970352,76565
"tvSeries","Action,Adventure,Animation","2012",6.9,1124
"tvSeries","Action,Adventure,Animation","2013",3.6932059447983,942
"tvSeries","Action,Adventure,Animation","2014",6.99742042540353,6629
"tvSeries","Action,Adventure,Animation","2015",6.90835439039798,6332
"tvSeries","Action,Adventure,Animation","2016",6.8,5392
"tvSeries","Action,Adventure,Animation","2017",5.48424153166421,679
"tvSeries","Action,Adventure,Animation","2018",7.82324191279887,2844
"tvSeries","Action,Adventure,Animation","2019",8.22754051160902,27091
"tvSeries","Action,Adventure,Animation","2020",7.45411066503753,22916
"tvSeries","Action,Adventure,Animation","2021",7.05619433198381,2470
"tvSeries","Action,Adventure,Biography","1997",6.7,2243
"tvSeries","Action,Adventure,Comedy","1989",7.4,64
"tvSeries","Action,Adventure,Comedy","1991",8.09262295081967,244
"tvSeries","Action,Adventure,Comedy","1999",6.6,3027
"tvSeries","Action,Adventure,Comedy","2003",6.6,36
"tvSeries","Action,Adventure,Comedy","2006",4.55451144366197,4544
"tvSeries","Action,Adventure,Comedy","2007",7.8,344
"tvSeries","Action,Adventure,Comedy","2011",6.8,123
"tvSeries","Action,Adventure,Comedy","2014",3.8,225
"tvSeries","Action,Adventure,Comedy","2015",8.3,45
"tvSeries","Action,Adventure,Comedy","2017",7.3,162
"tvSeries","Action,Adventure,Comedy","2018",7.9,23
"tvSeries","Action,Adventure,Comedy","2019",9.6,3953
"tvSeries","Action,Adventure,Comedy","2020",6.5,13
"tvSeries","Action,Adventure,Crime","1940",6.5,170
"tvSeries","Action,Adventure,Crime","1963",7.8,39
"tvSeries","Action,Adventure,Crime","1996",8.7,22
"tvSeries","Action,Adventure,Crime","1998",8.4,20
"tvSeries","Action,Adventure,Crime","2003",6.9,276
"tvSeries","Action,Adventure,Crime","2011",7.4,9566
"tvSeries","Action,Adventure,Crime","2021",8.8,6
"tvSeries","Action,Adventure,Documentary","2010",7.7,347
"tvSeries","Action,Adventure,Drama","1979",5.5,107
"tvSeries","Action,Adventure,Drama","1980",7.5,152
"tvSeries","Action,Adventure,Drama","1982",7.3,75
"tvSeries","Action,Adventure,Drama","1983",8.4,577
"tvSeries","Action,Adventure,Drama","1984",7.7,59
"tvSeries","Action,Adventure,Drama","1985",8.4,324
"tvSeries","Action,Adventure,Drama","1993",8.4,765
"tvSeries","Action,Adventure,Drama","2003",6.4,17
"tvSeries","Action,Adventure,Drama","2004",7.8,289
"tvSeries","Action,Adventure,Drama","2005",5.9,40
"tvSeries","Action,Adventure,Drama","2007",5.2,79
"tvSeries","Action,Adventure,Drama","2010",4.4,13
"tvSeries","Action,Adventure,Drama","2011",8.17555555555555,360
"tvSeries","Action,Adventure,Drama","2014",7.28918918918919,148
"tvSeries","Action,Adventure,Drama","2016",8.1,91
"tvSeries","Action,Adventure,Drama","2020",9.1,56
"tvSeries","Action,Adventure,Drama","2021",6.3,1276
"tvSeries","Action,Adventure,Family","1970",7.8,51
"tvSeries","Action,Adventure,Family","1978",6.5,350
"tvSeries","Action,Adventure,Family","1989",8,24
"tvSeries","Action,Adventure,Family","2000",6.4,16
"tvSeries","Action,Adventure,Family","2001",6.1,28
"tvSeries","Action,Adventure,Family","2013",4.9,245
"tvSeries","Action,Adventure,Family","2014",5.6,4943
"tvSeries","Action,Adventure,Fantasy","1981",8.3,22
"tvSeries","Action,Adventure,Fantasy","1996",7.9,15
"tvSeries","Action,Adventure,Fantasy","2004",8.2,27
"tvSeries","Action,Adventure,Fantasy","2006",7.2,657
"tvSeries","Action,Adventure,Fantasy","2007",7.3,93
"tvSeries","Action,Adventure,Fantasy","2013",8.2,68
"tvSeries","Action,Adventure,Fantasy","2017",6.5,181
"tvSeries","Action,Adventure,Fantasy","2021",8.3,228621
"tvSeries","Action,Adventure,History","1969",8,745
"tvSeries","Action,Adventure,Horror","1973",7.6,29
"tvSeries","Action,Adventure,Horror","2014",7,11
"tvSeries","Action,Adventure,Horror","2017",8.2,13
"tvSeries","Action,Adventure,Music","2011",8.7,94
"tvSeries","Action,Adventure,Romance","1971",8.7,58
"tvSeries","Action,Adventure,Sci-Fi","1979",7.2,170
"tvSeries","Action,Adventure,Sci-Fi","2002",6,122
"tvSeries","Action,Adventure,Sci-Fi","2017",5.6,212
"tvSeries","Action,Adventure,Thriller","2003",6.4,79
"tvSeries","Action,Animation","1983",5.9,360
"tvSeries","Action,Animation","1987",5.3,11
"tvSeries","Action,Animation","2005",7,916
"tvSeries","Action,Animation","2013",6,42
"tvSeries","Action,Animation","2014",5.9,24
"tvSeries","Action,Animation","2015",6.4,33
"tvSeries","Action,Animation","2019",7.98734939759036,4316
"tvSeries","Action,Animation,Comedy","1965",6.5,2021
"tvSeries","Action,Animation,Comedy","1966",7.2,51
"tvSeries","Action,Animation,Comedy","1976",6.7,622
"tvSeries","Action,Animation,Comedy","1977",4.5,8
"tvSeries","Action,Animation,Comedy","1981",7.3,927
"tvSeries","Action,Animation,Comedy","1985",6.2,329
"tvSeries","Action,Animation,Comedy","1991",6.63079584775087,578
"tvSeries","Action,Animation,Comedy","1996",6.7,87
"tvSeries","Action,Animation,Comedy","1997",7.9,105
"tvSeries","Action,Animation,Comedy","2000",8.64415011037527,6342
"tvSeries","Action,Animation,Comedy","2003",5.4,50
"tvSeries","Action,Animation,Comedy","2004",7.4,155
"tvSeries","Action,Animation,Comedy","2005",5.88609077598829,1366
"tvSeries","Action,Animation,Comedy","2007",6.6,129
"tvSeries","Action,Animation,Comedy","2008",6.5,320
"tvSeries","Action,Animation,Comedy","2009",6.77894736842105,304
"tvSeries","Action,Animation,Comedy","2010",6.78039215686275,306
"tvSeries","Action,Animation,Comedy","2011",5.73557692307692,1560
"tvSeries","Action,Animation,Comedy","2012",6.38277289187791,1933
"tvSeries","Action,Animation,Comedy","2013",7.74473361317404,15485
"tvSeries","Action,Animation,Comedy","2014",6.96666666666667,684
"tvSeries","Action,Animation,Comedy","2015",6.96298168035376,1583
"tvSeries","Action,Animation,Comedy","2016",7.29727315467795,2127
"tvSeries","Action,Animation,Comedy","2018",7,531
"tvSeries","Action,Animation,Comedy","2019",6.8,1743
"tvSeries","Action,Animation,Comedy","2020",6.40734573947111,1021
"tvSeries","Action,Animation,Comedy","2021",7.14684045881126,4795
"tvSeries","Action,Animation,Crime","1996",7.8,2220
"tvSeries","Action,Animation,Crime","2003",7.9,4799
"tvSeries","Action,Animation,Crime","2005",7.1,1047
"tvSeries","Action,Animation,Crime","2006",6.5,463
"tvSeries","Action,Animation,Crime","2013",6.9,2212
"tvSeries","Action,Animation,Crime","2018",6.2,635
"tvSeries","Action,Animation,Drama","1980",8.9,404
"tvSeries","Action,Animation,Drama","2000",7.82949376375642,1363
"tvSeries","Action,Animation,Drama","2003",7.4,2179
"tvSeries","Action,Animation,Drama","2004",6.8868932038835,206
"tvSeries","Action,Animation,Drama","2007",8.01623188405797,2415
"tvSeries","Action,Animation,Drama","2008",6.94478707782672,681
"tvSeries","Action,Animation,Drama","2009",7,524
"tvSeries","Action,Animation,Drama","2010",7.4,658
"tvSeries","Action,Animation,Drama","2011",7.6,15948
"tvSeries","Action,Animation,Drama","2012",6.9,292
"tvSeries","Action,Animation,Drama","2016",5.7,147
"tvSeries","Action,Animation,Drama","2018",6.60159325210872,5335
"tvSeries","Action,Animation,Drama","2019",6.14,300
"tvSeries","Action,Animation,Drama","2020",6.11595273264402,677
"tvSeries","Action,Animation,Drama","2021",6.7,933
"tvSeries","Action,Animation,Family","1967",6.7,1343
"tvSeries","Action,Animation,Family","1978",7.48878873239437,1775
"tvSeries","Action,Animation,Family","1979",5.8,745
"tvSeries","Action,Animation,Family","1985",6.6,120
"tvSeries","Action,Animation,Family","1994",6.8,67
"tvSeries","Action,Animation,Fantasy","1966",6.62264150943396,1166
"tvSeries","Action,Animation,Fantasy","1996",6.6,14
