"directors","titleType","genres","numVotes","weightedRating"
"nm0001565","tvShort","Comedy,Short",621,6.8
"nm0001814","tvShort","Documentary,Short",35,2.8
"nm0003163","tvShort","Action,Comedy,Short",4714,9.7
"nm0004886","tvShort","Action,Thriller",33,7.5
"nm0006620","tvShort","Drama,Short",18,5.2
"nm0006620","tvShort","Drama,Short",19,5.3
"nm0006620","tvShort","Short",16,4.2
"nm0009953","tvShort","Comedy",59,7.5
"nm0082450","tvShort","Short",97,3.3
"nm0128225","tvShort","Comedy,Short",39,5.5
"nm0185374","tvShort","Action,Adventure,Animation",190,6.2
"nm0189683","tvShort","Documentary,Family,History",27,8.6
"nm0213983","tvShort","Drama,Short",115,6.8
"nm0213983","tvShort","Short",51,6
"nm0267497","tvShort","Comedy",21,5.1
"nm0295105","tvShort","Comedy,Short",30,6
"nm0302778","tvShort","Comedy,Horror,Short",112,6.3
"nm0319791","tvShort","Action,Adventure,Animation",488,5.1
"nm0357895","tvShort","Music,Short",444,5.9
"nm0373673","tvShort","Comedy,Short",10,7.8
"nm0376487","tvShort","Comedy,Short",17,4.5
"nm0412940","tvShort","Drama,Short",12,7.8
"nm0431908","tvShort","Action,Adventure,Comedy",205,6.6
"nm0438174","tvShort","Short",15,5.2
"nm0454660","tvShort","Animation,Comedy,Family",740,6.3
"nm0459170","tvShort","Drama,Sci-Fi,Short",22,7.6
"nm0562013","tvShort","Short",12,7.9
"nm0649609","tvShort","Action,Adventure,Crime",15,8.6
"nm0662810","tvShort","Adventure,Animation,Comedy",1505,5.7
"nm0687739","tvShort","Animation,Short",14,5.8
"nm0719307","tvShort","Fantasy,Short",23,5.1
"nm0767748","tvShort","Animation,Comedy,Short",112,8
"nm0770213","tvShort","Animation,Comedy,Family",9,9
"nm0770213","tvShort","Animation,Family,Short",128,6
"nm0770213","tvShort","Documentary,Drama,Family",107,6.1
"nm0770213","tvShort","Documentary,Drama,History",35,6.5
"nm0770213","tvShort","Documentary,Drama,History",334,6.5
"nm0770213","tvShort","Documentary,Drama,History",338,5.6
"nm0777498","tvShort","Documentary,Short",94,8.2
"nm0777498","tvShort","Documentary,Short",204,8.3
"nm0779036","tvShort","Action,Adventure,Animation",1765,7.1
"nm0798899","tvShort","Animation,Sci-Fi,Short",79,6.9
"nm0798899","tvShort","Animation,Short",77,5.8
"nm0915416","tvShort","Comedy,Short",9,7.5
"nm0935664","tvShort","Comedy,Short",283,6.4
"nm0938471","tvShort","Comedy,Short",6,8.2
"nm0955443","tvShort","Documentary,Short",27,3.8
"nm0996406","tvShort","Animation,Family,Fantasy",2722,7.2
"nm1033955","tvShort","Comedy",310,6.7
"nm1048917","tvShort","Documentary,Short",538,7.6
"nm1083821","tvShort","Comedy,Short",12,8.5
"nm1085757","tvShort","Comedy,Horror,Sci-Fi",4250,8.5
"nm1222874","tvShort","Comedy,Short",483,7.7
"nm1341018","tvShort","Comedy,Short",55,6.1
"nm1341018","tvShort","Short",54,6.8
"nm1543688","tvShort","Comedy,Short",201,8.3
"nm1587079","tvShort","Comedy,Sci-Fi,Short",1478,8.4
"nm1592228","tvShort","Drama,Short",20,5.5
"nm1653753","tvShort","Comedy,Short",80,7.9
"nm1709238","tvShort","Animation,Short",14,7.7
"nm1743387","tvShort","Comedy,Short",53,8.3
"nm1926903","tvShort","Comedy,Short",62,6.5
"nm2352792","tvShort","Comedy,Short",104,5.3
"nm2575681","tvShort","Documentary,News,Short",22,5.1
"nm2745845","tvShort","Animation,Comedy,Short",45,6.8
"nm2936539","tvShort","Comedy,Short",8,7.6
"nm2996471","tvShort","Animation,Comedy,Family",36,6.8
"nm3045431","tvShort","Animation,Drama,Fantasy",83,5.9
"nm3060183","tvShort","Comedy,Short",64,6.5
"nm3189181","tvShort","Comedy,Short",108,7.7
"nm3189181","tvShort","Comedy,Sport",64,7.2
"nm3247969","tvShort","Animation,Comedy,Short",31,6.6
"nm3262328","tvShort","Action,Adventure,Animation",1255,6.5
"nm3268598","tvShort","Comedy,Short",96,6.2
"nm3436969","tvShort","Action,Adventure,Animation",1697,6.2
"nm3759199","tvShort","Action,Adventure,Animation",57,7.6
"nm3760083","tvShort","Comedy,Short",32,6
"nm4097598","tvShort","Short",30,4.9
"nm4255638","tvShort","Comedy,Short",35,8.2
"nm5835985","tvShort","Adventure,Animation,Comedy",17,8.3
"nm5835985","tvShort","Animation,Comedy,Short",17,7.3
"nm7547471","tvShort","Comedy,Romance,Short",21,8.4
"nm7547471","tvShort","Comedy,Short,Sport",13,7.5
"nm7547471","tvShort","Musical,Short",8,7.6
"nm7846263","tvShort","Comedy,Short",291,8.3
"nm9158799","tvShort","Biography,Documentary,Short",37,9.4
"nm9158799","tvShort","Biography,Documentary,Short",39,9.5
"nm9301788","tvShort","News,Reality-TV,Short",102,9.6
"nm9301788","tvShort","Short",106,9.6
"nm9923550","tvShort","Animation,Comedy,Sci-Fi",328,6.4
