"directors","titleType","genres","numVotes","weightedRating"
"nm0000490","tvSpecial","Comedy",464,6.2
"nm0000490","tvSpecial","Comedy,Documentary",521,7
"nm0000490","tvSpecial","Comedy,Drama",580,5.8
"nm0000965","tvSpecial","Sport",2991,8.3
"nm0001281","tvSpecial","Comedy",86,6.6
"nm0001281","tvSpecial","Comedy",91,6.2
"nm0001281","tvSpecial","Comedy",255,7
"nm0001281","tvSpecial","Comedy",433,7.4
"nm0001281","tvSpecial","Comedy",799,6.5
"nm0001281","tvSpecial","Comedy",2299,7.2
"nm0001281","tvSpecial","Comedy",2788,6.6
"nm0001281","tvSpecial","Comedy,Documentary",895,7.3
"nm0001281","tvSpecial","Comedy,Family",24,6.9
"nm0001705","tvSpecial","Comedy,Documentary",9,7
"nm0002704","tvSpecial","Comedy",354,7.2
"nm0002704","tvSpecial","Comedy",1518,6.5
"nm0002704","tvSpecial","Comedy",1698,6.6
"nm0003400","tvSpecial","Comedy,Documentary",7,7.2
"nm0003474","tvSpecial","Comedy",16,7.8
"nm0003474","tvSpecial","Comedy",190,7.4
"nm0003474","tvSpecial","Comedy",206,3.7
"nm0003474","tvSpecial","Comedy",429,5.6
"nm0003474","tvSpecial","Comedy",504,6.6
"nm0003474","tvSpecial","Comedy",547,6.9
"nm0003474","tvSpecial","Comedy",676,6.1
"nm0003474","tvSpecial","Comedy",1037,6.9
"nm0003474","tvSpecial","Comedy",1107,7.3
"nm0003474","tvSpecial","Comedy,Documentary",169,6.9
"nm0003474","tvSpecial","Comedy,Documentary",197,5.5
"nm0003474","tvSpecial","Comedy,Documentary",268,5.1
"nm0003474","tvSpecial","Comedy,Documentary",381,5.7
"nm0003474","tvSpecial","Comedy,Documentary",661,6.3
"nm0003620","tvSpecial","Comedy",737,5.8
"nm0005069","tvSpecial","Comedy",4799,7.5
"nm0005069","tvSpecial","Comedy,Short",46,5.7
"nm0007179","tvSpecial","Documentary,Musical",14,8.5
"nm0007179","tvSpecial","Music",9,9.2
"nm0007179","tvSpecial","Musical",26,5.1
"nm0007179","tvSpecial","News",12,9
"nm0007179","tvSpecial","Talk-Show",7,9.4
"nm0007179","tvSpecial","Talk-Show",42,4.8
"nm0007179","tvSpecial","Talk-Show",60,3.4
"nm0008408","tvSpecial","Musical",10,7.2
"nm0020039","tvSpecial","Comedy",323,4.4
"nm0024063","tvSpecial","Comedy,Music",19,6.3
"nm0038875","tvSpecial","Comedy",22,7.4
"nm0038875","tvSpecial","Comedy",26,7.9
"nm0038875","tvSpecial","Comedy,Documentary",342,6.2
"nm0038875","tvSpecial","Comedy,Documentary",835,5.7
"nm0038875","tvSpecial","Comedy,Documentary",995,7.9
"nm0039407","tvSpecial","Music",9,7.8
"nm0040631","tvSpecial","Music",20,7.4
"nm0040631","tvSpecial","Music",33,8.5
"nm0042796","tvSpecial","Adventure,Animation,Comedy",494,6.6
"nm0051972","tvSpecial","Comedy",269,6.7
"nm0051972","tvSpecial","Comedy",657,6.6
"nm0051972","tvSpecial","Comedy",1246,5.8
"nm0051972","tvSpecial","Comedy",1251,6.7
"nm0051972","tvSpecial","Comedy",1476,7.2
"nm0051972","tvSpecial","Comedy",1489,6.8
"nm0051972","tvSpecial","Comedy",1491,6.6
"nm0051972","tvSpecial","Comedy",1850,7.3
"nm0051972","tvSpecial","Comedy",2350,6.9
"nm0051972","tvSpecial","Comedy,Documentary",82,5.5
"nm0051972","tvSpecial","Comedy,Documentary",180,7.5
"nm0051972","tvSpecial","Comedy,Talk-Show",43,6.5
"nm0055385","tvSpecial","Music",24,7.6
"nm0075728","tvSpecial","Comedy",5,5.8
"nm0075728","tvSpecial","Comedy",381,7.3
"nm0082802","tvSpecial","Comedy",10053,8.2
"nm0092884","tvSpecial","Reality-TV",157,7.2
"nm0094397","tvSpecial","Comedy",132,6.3
"nm0094397","tvSpecial","Comedy",5546,7
"nm0106230","tvSpecial","Comedy",279,4.9
"nm0109273","tvSpecial","Comedy,Documentary",9,6.4
"nm0120046","tvSpecial","Talk-Show",7,7.4
"nm0122745","tvSpecial","Reality-TV",21,6
"nm0125753","tvSpecial","Comedy",16,7.2
"nm0127373","tvSpecial","Comedy",33,7.1
"nm0127373","tvSpecial","Comedy",6297,7.9
"nm0127373","tvSpecial","Comedy",9126,8.4
"nm0127373","tvSpecial","Comedy",9785,7.6
"nm0127373","tvSpecial","Comedy",11671,8.4
"nm0130549","tvSpecial","Comedy",682,6.3
"nm0139018","tvSpecial","News",10,7.1
"nm0139081","tvSpecial","Reality-TV",277,8.3
"nm0139285","tvSpecial","Comedy",60,6.4
"nm0141448","tvSpecial","Comedy,Music",52,7.5
"nm0141448","tvSpecial","Documentary",70,6.9
"nm0141448","tvSpecial","Music",24,8.5
"nm0141448","tvSpecial","News",47,6.3
"nm0141448","tvSpecial","News",49,7.2
"nm0141448","tvSpecial","News",65,6.1
"nm0141448","tvSpecial","News",70,6.4
"nm0141448","tvSpecial","News",81,6.9
"nm0151540","tvSpecial","Comedy",232,5.7
"nm0152401","tvSpecial","Comedy",41,5.9
"nm0152401","tvSpecial","Comedy",48,5.4
"nm0152401","tvSpecial","Comedy",52,6
"nm0152401","tvSpecial","Comedy",53,6.2
"nm0152401","tvSpecial","Comedy",57,5.9
"nm0152401","tvSpecial","Comedy",64,5.8
"nm0152401","tvSpecial","Comedy",68,5.9
"nm0152401","tvSpecial","Comedy",79,6.4
"nm0152401","tvSpecial","Comedy",82,6.5
"nm0152401","tvSpecial","Comedy",108,6.2
"nm0152401","tvSpecial","Comedy",116,6.9
"nm0152401","tvSpecial","Comedy",121,6.9
"nm0152401","tvSpecial","Comedy",123,7.1
"nm0152401","tvSpecial","Comedy",137,6.8
"nm0152401","tvSpecial","Comedy",142,5.7
"nm0152401","tvSpecial","Comedy",146,7
"nm0152401","tvSpecial","Comedy",150,5.8
"nm0152401","tvSpecial","Comedy",175,6.3
"nm0152401","tvSpecial","Comedy",183,7.2
"nm0152401","tvSpecial","Comedy",228,7.3
"nm0152401","tvSpecial","Comedy",244,6.9
"nm0152401","tvSpecial","Comedy",260,6.5
"nm0152401","tvSpecial","Comedy",305,4.5
"nm0152401","tvSpecial","Comedy",327,6.8
