"directors","titleType","genres","numVotes","weightedRating"
"nm0000108","video","Short",46,4.9
"nm0000127","video","Horror,Mystery,Short",26,7.8
"nm0000127","video","Horror,Mystery,Short",31,7.7
"nm0000127","video","Horror,Mystery,Short",41,8.1
"nm0000127","video","Horror,Mystery,Short",62,7.1
"nm0000186","video","Comedy,Short",222,6.7
"nm0000186","video","Documentary,Music",389,6.4
"nm0000186","video","Documentary,Short",421,5.4
"nm0000217","video","Comedy,Crime,Drama",188,6.7
"nm0000217","video","Short",17,7.3
"nm0000231","video","Short",1995,7
"nm0000269","video","Music,Short",249,7.7
"nm0000294","video","Comedy",66,8.2
"nm0000343","video","Action,Crime,Horror",90,5.9
"nm0000490","video","Music",42,1.7
"nm0000490","video","Short",27,2
"nm0000490","video","Short",86,3.9
"nm0000519","video","Comedy,Short",48,6.2
"nm0000519","video","Comedy,Short",223,5.6
"nm0000631","video","Drama,Short",97,7.7
"nm0000709","video","Drama,Fantasy,Short",471,6.8
"nm0000759","video","Documentary,Music,Short",145,7.4
"nm0000759","video","Drama,Music,Romance",345,7.9
"nm0000759","video","Short",588,8.3
"nm0001000","video","Adult",8,6.46666666666667
"nm0001000","video","Adult",9,7.65
"nm0001000","video","Adult",14,7.9
"nm0001206","video","Short",6,3.4
"nm0001238","video","Mystery,Thriller",132,3.6
"nm0001325","video","Documentary,Short",24,5.7
"nm0001325","video","Documentary,Short",26,6.2
"nm0001325","video","Drama,Short",29,6.3
"nm0001325","video","Short",43,5.2
"nm0001348","video","Music",65,6.9
"nm0001752","video","Comedy",101,7
"nm0001752","video","Documentary,Short",14,6.2
"nm0001874","video","Animation,Short",22,6.9
"nm0001885","video","Drama,Short",124,4.6
"nm0002573","video","Comedy,Romance",369,2.8
"nm0002973","video","Adventure,Comedy,Family",1966,4.4
"nm0003289","video","Comedy,Fantasy",1348,4.4
"nm0003577","video","Action,Adventure,Documentary",6,8.2
"nm0003577","video","Action,Biography,Documentary",19,8.8
"nm0003577","video","Action,Documentary,History",16,8.6
"nm0003577","video","Biography,Documentary,History",43,7.2
"nm0003776","video","Action,Adventure,Thriller",2781,2.4
"nm0004152","video","Action",4149,4.4
"nm0004152","video","Action,Crime,Sci-Fi",19533,5.4
"nm0004152","video","Action,Crime,Sci-Fi",32128,5.6
"nm0004152","video","Action,Drama,War",2949,4.6
"nm0004152","video","Action,Fantasy",8348,3.7
"nm0004152","video","Action,Fantasy,Horror",1220,4.4
"nm0004152","video","Action,Fantasy,Horror",5431,4.9
"nm0004152","video","Action,Thriller",2823,4.2
"nm0004152","video","Action,Thriller",4711,5.3
"nm0005069","video","Comedy,Fantasy,Music",1888,8.1
"nm0005069","video","Horror,Short",168,4.3
"nm0005295","video","Comedy,Short",201,8.4
"nm0005363","video","Short",94,6.4
"nm0005618","video","Adventure,Comedy,Family",3805,4.3
"nm0005618","video","Comedy,Family",1623,5.1
"nm0005618","video","Comedy,Family",2228,3.8
"nm0005618","video","Comedy,Family",2957,3.7
"nm0006395","video","Comedy,Drama,Family",255,4.5
"nm0006395","video","Drama,Mystery,Thriller",5896,5.1
"nm0006395","video","Drama,Western",1818,4.5
"nm0007179","video","Talk-Show",45,4.3
"nm0019247","video","Comedy",18,6.5
"nm0023859","video","Fantasy",47,7.2
"nm0023929","video","Comedy",150,2.4
"nm0023929","video","Comedy,Horror",7,3.1
"nm0023929","video","Comedy,Horror",772,2.5
"nm0023929","video","Horror",545,2.8
"nm0023929","video","Horror,Mystery,Thriller",15,4.5
"nm0029607","video","Adult",5,6
"nm0029607","video","Adult",8,6
"nm0031976","video","Short",16,3.2
"nm0035630","video","Action,Adult,Crime",32,7.1
"nm0035630","video","Adult",7,6.06666666666667
"nm0035630","video","Adult",10,6.63333333333333
"nm0035630","video","Adult",11,6.6
"nm0035630","video","Adult",14,6.6
"nm0035630","video","Adult",26,8.2
"nm0035630","video","Adult",55,7.9
"nm0035630","video","Adult,Adventure",17,6.4
"nm0035630","video","Adult,Comedy",8,4.9
"nm0035630","video","Adult,Comedy",11,6.4
"nm0035630","video","Adult,Comedy",15,5.7
"nm0035630","video","Adult,Comedy,Musical",46,6.4
"nm0035630","video","Adult,Comedy,Romance",8,5.4
"nm0035630","video","Adult,Comedy,Romance",9,5.6
"nm0035630","video","Adult,Comedy,Romance",10,6.4
"nm0035630","video","Adult,Comedy,Romance",15,6.3
"nm0035630","video","Adult,Comedy,Romance",34,4.2
"nm0035630","video","Adult,Comedy,Sci-Fi",24,4.6
"nm0035630","video","Adult,Crime",15,4.1
"nm0035630","video","Adult,Crime,Drama",11,5.5
"nm0035630","video","Adult,Crime,Drama",12,6.3
"nm0035630","video","Adult,Crime,Drama",13,6.5
"nm0035630","video","Adult,Crime,Drama",23,6.7
"nm0035630","video","Adult,Crime,Drama",28,7.3
"nm0035630","video","Adult,Crime,Mystery",10,5.8
"nm0035630","video","Adult,Crime,Romance",6,5
"nm0035630","video","Adult,Drama,Fantasy",6,6.2
"nm0035630","video","Adult,Drama,Fantasy",7,6.7
